AVL;Splay;Cartesian;Red-Black
100;20;6;0;10
200;27;12;0;19
300;32;19;0;10
400;28;27;0;10
500;26;29;0;23
600;27;78;0;10
700;33;35;0;43
800;30;30;0;32
900;46;48;0;22
1000;31;37;0;19
1100;32;40;0;33
1200;25;65;0;23
1300;31;63;0;46
1400;31;49;0;21
1500;38;69;0;24
1600;48;75;0;15
1700;36;109;0;16
1800;38;66;0;16
1900;44;104;0;17
2000;66;72;0;14
2100;31;85;0;16
2200;39;70;0;17
2300;55;93;0;22
2400;37;83;0;16
2500;65;79;0;42
2600;41;135;0;29
2700;59;101;0;19
2800;84;129;0;65
2900;61;189;0;39
3000;66;111;0;15
3100;37;108;0;18
3200;104;105;0;15
3300;45;218;0;17
3400;52;132;0;15
3500;66;136;0;16
3600;40;119;86;49
3700;91;162;0;16
3800;44;322;0;14
3900;43;144;0;15
4000;40;214;0;20
4100;45;136;0;21
4200;54;145;0;16
4300;38;339;0;16
4400;34;139;0;19
4500;34;179;0;35
4600;46;154;0;29
4700;94;167;0;27
4800;44;223;0;20
4900;42;158;0;43
5000;31;173;0;20
5100;60;179;0;18
5200;46;166;0;20
5300;42;221;0;58
5400;49;292;0;20
5500;89;334;0;22
5600;39;225;0;19
5700;42;210;0;37
5800;43;200;0;43
5900;44;356;52;20
6000;43;200;0;22
6100;45;319;0;18
6200;39;263;0;52
6300;59;206;0;36
6400;41;461;0;20
6500;39;295;0;20
6600;40;234;0;19
6700;36;261;0;70
6800;36;245;0;46
6900;47;322;0;101
7000;36;243;0;25
7100;42;302;0;32
7200;34;296;62;21
7300;83;255;0;29
7400;37;284;0;22
7500;46;249;0;32
7600;45;561;0;74
7700;45;463;0;39
7800;43;256;0;36
7900;35;314;0;21
